_id,Project_Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8
1,Abbot Street/ Shawmut Ave,Roxbury,02119,16,16,0,0,0,0,16,16,0,Rental,Private,,
2,Academy Homes I,Roxbury,02119,202,202,0,52,52,0,150,150,0,Rental,Private,,
3,Academy Homes II,Roxbury,02119,236,236,0,0,0,0,236,236,0,Rental,Private,,Y
4,Adams Court Phase A,Mattapan,02126,50,50,0,0,0,0,50,50,0,Rental,Private,,
5,Adams Court Phase B,Mattapan,02126,45,45,0,0,0,0,45,45,0,Rental,Private,,
6,Adams Templeton Elderly Housing,Dorchester,02124,76,76,0,1,1,0,75,75,0,Rental,Private,Y,Y
7,Alcott Apts [Garden Garage],West End,02114,470,470,0,453,453,0,17,17,0,Rental,Private,,
8,Alexander-Magnolia,Dorchester,02125,40,40,0,2,2,0,38,38,0,Rental,Private,,
9,"Alice H. Taylor (Mission Hill Ext.) (2-14, -60,-84,-86,-100)",Mission Hill,02120,363,363,0,0,0,0,363,363,0,Rental,Public,,
10,Allele Condominium,South Boston,02127,47,0,47,41,0,41,6,0,6,Ownership,Private,,
11,Alleyne (VUP) CDFI,Roxbury,02121,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
12,Alpine Street Village,Hyde Park,02136,44,0,44,40,0,40,4,0,4,Rental,Private,,
13,Amiff Housing,Dorchester,02124,96,96,0,0,0,0,96,96,0,Rental,Private,,Y
14,Amory Foundry (Phase I),Jamaica Plain,02130,23,0,23,18,,18,5,0,5,Ownership,Private,,
15,Amory Street (2-45),Jamaica Plain,02119,215,215,0,0,0,0,215,215,0,Rental,Private,Y,
16,Amory Terrace,Jamaica Plain,02119,64,64,0,0,0,0,64,64,0,Rental,Private,,
17,Amy Lowell House,West End,02114,152,152,0,30,30,0,122,122,0,Rental,Private,,
18,Anderson Park,Beacon Hill,02114,64,64,0,0,0,0,64,64,0,Rental,Private,Y,Y
19,Andrade (VUP),Dorchester,02122,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
20,Andrew Square Apts,South Boston,02127,9,9,0,0,0,0,9,9,0,Rental,Private,,
21,Angela Westover House,Jamaica Plain,02130,11,11,0,0,0,0,11,11,0,Rental,Private,Y,Y
22,Annapolis (2-27),Dorchester,02125,56,56,0,0,0,0,56,56,0,Rental,Public,Y,
23,Archdale (200-7),Roslindale,02131,285,285,0,0,0,0,285,285,0,Rental,Public,,
24,Archstone Boston Common,Chinatown,02111,420,420,0,374,374,0,46,46,0,Rental,Private,,
25,Armory Condos,Charlestown,02129,42,0,42,36,0,36,6,0,6,Ownership,Private,,
26,Ashmont (2-28),Dorchester,02124,54,54,0,0,0,0,54,54,0,Rental,Public,Y,
27,Ashmont TOD (Housing),Dorchester,02124,116,74,42,42,0,42,74,74,0,Rental,Private,,
28,Astoria Street Condos (Elizabeth Street),Mattapan,02126,3,0,3,0,0,0,3,0,3,Ownership,Private,,
29,Atlantic Wharf,Downtown,02210,86,86,0,81,81,0,5,5,0,Rental,Private,,
30,Atrium Lofts,East Boston,02128,218,0,218,186,0,186,32,0,32,Ownership ,Private,,
31,Audubon Apts,Mattapan,02126,37,37,0,5,5,0,32,32,0,Rental,Private,,
32,Ausonia (2-61),North End,02109,100,100,0,0,0,0,100,100,0,Rental,Public,Y,
33,Ava Theater District,Downtown,02116,398,398,0,358,358,0,40,40,0,Rental,Private,,
34,Avalon at North Station,West End,02114,503,503,0,473,473,0,30,30,0,Rental,Private,,
35,Avalon at Prudential Center,Back Bay,02116,188,188,0,182,182,0,6,6,0,Rental,Private,,
36,Avana Lofts,Chinatown,02111,32,32,0,29,29,0,3,3,0,Rental,Private,,
37,Avenir Development,West End,02114,241,241,0,224,224,0,17,17,0,Rental,Private,,
38,Avondale Place,Mission Hill,02115,22,22,0,0,0,0,22,22,0,Rental,Private,,
39,Babcock Tower,Allston,02134,213,213,0,53,53,0,160,160,0,Rental,Private,,Y
40,Back of the Hill 202,Mission Hill,02130,125,125,0,0,0,0,125,125,0,Rental,Private,Y,Y
41,Back of the Hill HOP,Mission Hill,02120,149,0,149,58,0,58,91,0,91,Ownership,Private,,
42,Bailey (VUP),Roxbury,02121,1,1,0,0,0,0,1,1,0,Rental,Private,,
43,Baker Square Condominium,Mattapan,02124,60,60,0,52,52,0,8,8,0,Rental,Private,,
44,Balina Place at Norfolk St/Habitat,Dorchester,02124,3,0,3,0,0,0,3,0,3,Ownership,Private,,
45,Bancroft Apts,Jamaica Plain,02119,45,45,0,0,0,0,45,45,0,Rental,Private,,Y
46,Baptista (VUP),Dorchester,02125,1,1,0,0,0,0,1,1,0,Rental,Private,,
47,Barlett Square,Jamaica Plain,02130,13,0,13,11,0,11,2,0,2,Ownership,Private,,
48,Barnes School 202,East Boston,02128,74,74,0,0,0,0,74,74,0,Rental,Private,Y,
49,Bartlett Place Building E,Roxbury,02119,16,0,16,14,0,14,2,0,2,Ownership,Private,,
50,Bartlett Place/Building B,Roxbury,02119,60,0,60,22,22,0,38,38,0,Rental,Private,,
51,Basilica (667-6),Charlestown,02129,5,5,0,0,0,0,5,5,0,Rental,Public,Y,
52,Bates School/Artblock 731,South End,02118,54,0,54,30,0,30,24,0,24,Ownership,Private,,
