_id,Project_Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8
53,Bay Cove Group Homes I,Roslindale,02131,26,26,0,0,0,0,26,26,0,Rental,Private,,Y
54,Bay Cove Group Homes III,South Boston,02127,12,12,0,0,0,0,12,12,0,Rental,Private,,Y
55,Bay Cove Group Homes IV,Dorchester,02125,9,9,0,1,1,0,8,8,0,Rental,Private,,
56,Bay Cove Hyde Park,Roslindale,02131,12,12,0,0,0,0,12,12,0,Rental,Private,,
57,BCN Properties,Roxbury,02119,53,53,0,0,0,0,53,53,0,Rental,Private,,Y
58,Beacon House,Beacon Hill,02114,135,135,0,50,50,0,85,85,0,Rental,Private,Y,Y
59,Beasley (VUP),Dorchester,02121,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
60,Belgrade Place,West Roxbury,02132,39,39,0,34,0,34,5,5,0,Rental,Private,,
61,Bellflower (2-77),Dorchester,02125,114,114,0,0,0,0,114,114,0,Rental,Public,Y,
62,"Berkeley Investments, Inc.",South Boston Waterfront,02127,88,0,88,80,0,80,8,0,8,Ownership,Private,,
63,Beryl Gardens,Roxbury,02119,20,20,0,0,0,0,20,20,0,Rental,Private,,
64,BHA Infill 1A - Quincy Geneva,Roxbury,02121,18,0,18,0,0,0,18,0,18,Ownership,Private,,
65,BHA Infill 1B - Codman Square NDC,Dorchester,02124,2,0,2,0,0,0,2,0,2,Ownership,Private,,
66,BHA Infill 2 - Urban Edge,Roxbury,02119,15,5,10,0,0,0,15,5,10,Ownership/Rental,Private,,
67,BHA Infill 3 - Nuestra,Roxbury,02119,10,4,6,0,0,0,10,4,6,Ownership/Rental,Private,,
68,BHP Codman Square,Dorchester,02124,80,80,0,0,0,0,80,80,0,Rental,Private,,
69,BHP Fields Corner,Dorchester,02122,77,77,0,0,0,0,77,77,0,Rental,Private,,Y
70,BHP Frawley-Delle,Mission Hill,02115,74,74,0,0,0,0,74,74,0,Rental,Private,,Y
71,BHP Hano Street,Allston,02134,20,20,0,0,0,0,20,20,0,Rental,Private,,Section 8 or MRVP
72,BHP Lena Park,Dorchester,02121,93,93,0,0,0,0,93,93,0,Rental,Private,,
73,BHP Quincy-Geneva,Roxbury,02121,49,49,0,0,0,0,49,49,0,Rental,Private,,Y
74,BHP Washington Park,Jamaica Plain,02119,96,96,0,0,0,0,96,96,0,Rental,Private,,
75,BHP Westland Ave,Fenway,02115,20,20,0,5,5,0,15,15,0,Rental,Private,,
76,Bickford (2-25),Jamaica Plain,02130,56,56,0,0,0,0,56,56,0,Rental,Public,Y,
77,Bird St. Estates,Roxbury,02125,8,1,7,0,0,0,8,1,7,Ownership/Rental,Private,,
78,Blackstone Apts,West End,02114,145,145,0,0,0,0,145,145,0,Rental,Private,Y,Y
79,Blake Estates I,Hyde Park,02136,175,175,0,0,0,0,175,175,0,Rental,Private,Y,Y
80,Blake Estates II,Hyde Park,02136,88,88,0,0,0,0,88,88,0,Rental,Private,Y,Y
81,Blandino Farms,Dorchester,02124,16,0,16,14,0,14,2,0,2,Ownership,Private,,
82,Blessed Sacrament Mixed-Use (Rental + SRO),Jamaica Plain,02130,65,65,0,0,0,0,65,65,0,Rental,Private,,
83,Bloomfield Gardens,Dorchester,02124,27,27,0,0,0,0,27,27,0,Rental,Private,,
84,Blue Hill Commons,Roxbury,02119,8,1,7,0,0,0,8,1,7,Ownership/Rental,Private,,
85,Blue Mountain Assoc.,Roxbury,02121,217,217,0,0,0,0,217,217,0,Rental,Private,,Y
86,Border Falcon Condominiums,East Boston,02128,14,0,14,0,0,0,14,0,14,Ownership,Private,,
87,Boston East,East Boston,02128,200,200,0,174,174,0,26,26,0,Rental,Private,,
88,Boston Kenmore Realty LLC,Leather District,02111,54,0,54,49,0,49,5,0,5,Ownership,Private,,
89,Boston Landing,Brighton,02135,295,295,0,257,257,0,38,38,0,Rental,Private,,
90,Boston Rehab,Fenway,02115,144,144,0,0,0,0,144,144,0,Rental,Private,Y,Y
91,Boston Trailer Park Tenants,West Roxbury,02132,104,104,0,26,26,0,78,78,0,Rental,Private,,
92,Boston Wharf Tower,South Boston Waterfront,02127,202,202,0,180,180,0,22,22,0,Rental,Private,,
93,Boston's Hope in Dorchester,Dorchester,02124,41,41,0,0,0,0,41,41,0,Rental,Private,Y,
94,Bowditch School Lodging House,Jamaica Plain,02130,46,46,0,0,0,0,46,46,0,Rental,Private,,
95,Bowdoin Geneva Phase III (HOME AGAIN),Dorchester,02122,20,2,18,0,0,0,20,2,18,Ownership/Rental,Private,,
96,Bowdoin Place,Downtown,02114,75,0,75,56,0,56,19,0,19,Ownership,Private,Y,
97,Bowdoin School,Beacon Hill,02114,35,35,0,0,0,0,35,35,0,Rental,Private,Y,Y
98,Bowdoin/Geneva - HOME AGAIN,Dorchester,02125,7,0,7,0,0,0,7,0,7,Ownership,Private,,
99,Bowdoin/Geneva (Phase II),Dorchester,02125,10,5,5,2,1,1,8,4,4,Ownership/Rental,Private,,
100,Bowdoin-Geneva & Dudley FTHB,Dorchester,02125,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
101,Bowdoin-Geneva & Dudley Rental,Roxbury,02119,3,3,0,0,0,0,3,3,0,Rental,Private,,
102,Bowen (VUP),Dorchester,02124,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
103,Boylston St Mixed Use,Back Bay,02116,85,85,0,75,75,0,10,10,0,Rental,Private,,
104,Boylston West (Fenway Triangle Mixed Use),Fenway,02215,172,172,0,159,159,0,13,13,0,Rental,Private,,
105,Bradford Estates,Dorchester,02124,24,0,24,0,0,0,24,0,24,Ownership,Private,,
106,Bradlee-Fowler,Dorchester,02124,3,1,2,0,0,0,3,1,2,Ownership/Rental,Private,,
107,Bradley Properties,South End,02118,70,70,0,0,0,0,70,70,0,Rental,Private,,Y
108,Brandywyne Village,East Boston,02128,402,402,0,136,136,0,266,266,0,Rental,Private,,Y
109,Brantley (VUP),Mattapan,02126,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
110,Braxton (VUP),Dorchester,02121,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
111,Brewery Lofts,Mission Hill,02130,79,0,79,71,0,71,8,0,8,Ownership,Private,,
112,BRIAN J HONAN APARTMENTS,Allston,02134,50,50,0,0,0,0,50,50,0,Rental,Private,,
113,Brighton Gardens,Brighton,02135,62,62,0,49,49,0,13,13,0,Rental,Private,Y,
114,Brighton-Allston Apts,Allston,02134,62,62,0,0,0,0,62,62,0,Rental,Private,Y,
115,Brighton-Allston Elderly,Brighton,02134,80,80,0,1,1,0,79,79,0,Rental,Private,Y,Y
116,"Bromley Park (2-19, -75, -101)",Jamaica Plain,02130,779,779,0,0,0,0,779,779,0,Rental,Public,Y,
117,Brook Avenue Cooperative,Roxbury,02119,36,36,0,0,0,0,36,36,0,Cooperative,Private,,
118,"Brookford, Dalin and Dean St. Homes (Julian Phase 2 HOME AGAIN)",Roxbury,02125,18,1,17,0,0,0,18,1,17,Ownership/Rental,Private,,
119,Brookside Artists Housing,Jamaica Plain,02130,21,0,21,3,0,3,18,0,18,Ownership,Private,,
120,Brookview House,Dorchester,02124,8,8,0,0,0,0,8,8,0,Rental,Private,,
121,Brookview House II,Dorchester,02124,12,12,0,0,0,0,12,12,0,Rental,Private,,
122,Brookview House III,Dorchester,02124,12,12,0,0,0,0,12,12,0,Rental,Private,,
123,Brown (VUP),Dorchester,02121,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
124,"Brown, J & D (VUP)",Roxbury,02121,1,1,0,0,0,0,1,1,0,Rental,Private,,
125,Brown-Kaplan Townhomes,Dorchester,02124,60,60,0,0,0,0,53,53,0,Rental,Private,,Y
126,Brownstone Apartments,South End,02118,75,75,0,0,0,0,75,75,0,Rental,Private,,Y
127,Brunswick Street,Dorchester,02121,3,3,0,0,0,0,3,3,0,Rental,Private,,
128,Brush Hill Commons,Jamaica Plain,02130,14,0,14,8,0,8,6,0,6,Ownership,Private,,
129,Buckminster Hotel,Fenway,02215,18,18,0,16,16,0,2,2,0,Rental,Private,,
130,Buildable Lots - Codman Square,Dorchester,,6,0,6,1,0,1,5,0,5,Ownership,Private,,
131,Buildable Lots - Ferndale,Dorchester,02124,12,0,12,3,0,3,9,0,9,Ownership,Private,,
132,Buildable Lots - Uphams,Dorchester,,6,0,6,0,0,0,6,0,6,Ownership,Private,,
133,Buildable Lots- 1&2,Dorchester,02124,15,0,15,6,0,6,9,0,9,Ownership,Private,,
134,Buildable Lots- 3&4,Dorchester,,18,0,18,8,0,8,10,0,10,Ownership,Private,,
135,Buildable Lots- 5,Dorchester,02124,9,0,9,0,0,0,9,0,9,Ownership,Private,,
136,Buildable Lots- 6,Mattapan,02126,12,0,12,0,0,0,12,0,12,Ownership,Private,,
137,Building 104,Charlestown,02129,46,46,0,0,0,0,46,46,0,Rental,Private,,
138,Builduing 33 at Navy Yard,Charlestown,02129,47,47,0,41,41,0,6,6,0,Rental,Private,,
139,Burbank Gardens,Fenway,02115,52,52,0,0,0,0,52,52,0,Rental,Private,,Y
140,Burton Apts (18u),Roxbury,02120,18,18,0,0,0,0,18,18,0,Rental,Private,,Y
141,Burton-Dudley,Roxbury,02119,16,16,0,0,0,0,16,16,0,Rental,Private,,
142,Call Carolina Homes,Jamaica Plain,02130,8,0,8,0,0,0,8,0,8,Ownership,Private,,
143,Callender|Floyd|Stratton NHI 1,Dorchester,02124,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
144,Callender|Floyd|Stratton NHI 2,Dorchester,02124,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
145,Callender|Floyd|Stratton NHI 3,Dorchester,02124,1,0,1,0,0,0,1,0,1,Ownership,Private,,
146,Callender|Floyd|Stratton NHI 4,Mattapan,02124,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
147,Callender|Floyd|Stratton NHI 5,Mattapan,02124,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
148,Callender|Floyd|Stratton NHI 6,Dorchester,02124,1,0,1,0,0,0,1,0,1,Ownership,Private,,
149,Callender|Floyd|Stratton NHI 7,Dorchester,02124,2,1,1,0,0,0,2,1,1,Ownership,Private,,
150,Callender|Floyd|Stratton NHI 8,Mattapan,02124,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
151,Callender|Floyd|Stratton NHI 9,Dorchester,02124,1,0,1,0,0,0,1,0,1,Ownership,Private,,
152,Callender|Tucker NHI 1,Dorchester,02124,2,1,1,0,0,0,2,1,1,Ownership,Private,,
153,Callender|Tucker NHI 2,Dorchester,02124,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
154,Callender|Tucker NHI 3,Dorchester,02124,2,1,1,0,0,0,2,1,1,Ownership,Private,,
155,Callender|Tucker NHI 4,Dorchester,02124,2,1,1,0,0,0,2,1,1,Ownership,Private,,
156,Camden Street (200-2),Roxbury,02118,72,72,0,0,0,0,72,72,0,Rental,Public,,
157,Camfield Gardens,Roxbury,02118,102,102,0,0,0,0,102,102,0,Rental,Private,,Y
158,Capen Green,Dorchester,02124,18,0,18,0,0,0,18,0,18,Ownership,Private,,
159,Cardella (VUP),South Boston,02127,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
160,Cardinal Medeiros Manor,Roxbury,02125,54,54,0,0,0,0,54,54,0,Rental,Private,Y,Y
161,Caritas Centre St,Dorchester,02122,12,12,0,0,0,0,12,12,0,Rental,Private,,
162,Caritas Centre St. II,Dorchester,02124,11,11,0,0,0,0,11,11,0,Rental,Private,,
163,Caritas SRO Refinance,Dorchester,02125,24,24,0,0,0,0,24,24,0,Rental,Private,,
164,Carlton House AKA: Forward Inc. rental,Jamaica Plain,02119,44,44,0,0,0,0,44,44,0,Rental,Private,,
165,Carlton Wharf,East Boston,02128,30,0,30,0,0,0,30,0,30,Ownership,Private,,
166,Carol Ave. Limited Coop,Brighton,02135,33,33,0,9,9,0,24,24,0,Rental,Private,,
167,Carroll (VUP),Roxbury,02125,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
168,Carvalho (VUP),Dorchester,02122,2,2,0,0,0,0,2,2,0,Rental,Private,,
169,Cary Cottage,Roxbury,02119,10,10,0,0,0,0,10,10,0,Rental,Private,,
170,Casa Familias Unidas,Roxbury,02119,9,9,0,0,0,0,9,9,0,Rental,Private,,
171,Casa Maria,North End,02113,84,84,0,0,0,0,84,84,0,Rental,Private,Y,Y
172,Casa Nueva Vida,Jamaica Plain,02130,7,7,0,0,0,0,7,7,0,Rental,Private,,
173,Casas Borinquen,South End,02118,36,36,0,0,0,0,36,36,0,Rental,Private,,Y
174,Cass House,Roxbury,02121,111,111,0,0,0,0,111,111,0,Rental,Private,,
175,Castle Square,South End,02116,500,500,0,0,0,0,500,500,0,Rental,Private,,Y
176,Cathedral (2-6),South End,02118,414,414,0,0,0,0,414,414,0,Rental,Public,,
177,CATHERINE H GALLAGHER COOPERATIVE HOUSING,Jamaica Plain,02130,34,34,0,0,0,0,34,34,0,Rental,Private,,Y
178,Ceinture,South Boston,02127,54,0,54,44,0,44,10,0,10,Ownership,Private,,
179,Central Boston Elder Services,Roxbury,02119,57,57,0,0,0,0,57,57,0,Rental,Private,Y,
180,Centre/Lamartine,Jamaica Plain,02130,30,30,0,0,0,0,30,30,0,Rental,Private,,
181,Ceylon Field Apts (orig p/o Parkchester 98u),Dorchester,02121,66,66,0,0,0,0,66,66,0,Rental,Private,,
182,Chaisson (VUP),Dorchester,02125,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
183,Channel View Condominiums,South Boston,02127,18,0,18,16,0,16,2,0,2,Ownership,Private,,
184,Channel Wharf,South Boston,02127,45,0,45,40,0,40,5,0,5,Ownership,Private,,
185,Chapman House,East Boston,02128,30,30,0,22,22,0,8,8,0,Rental,Private,,
186,Charlame Park Homes 2A&B,Roxbury,02121,41,41,0,0,0,0,41,41,0,Rental,Private,Y,Y
187,Charlame Park Homes I,Roxbury,02119,92,92,0,0,0,0,92,92,0,Rental,Private,,Y
188,Charles Newtowne Cooperative,Charlestown,02129,262,262,0,0,0,0,262,262,0,Rental,Private,,Y
189,Charles Street Gardens,Charlestown,02129,21,0,21,14,0,14,7,0,7,Ownership,Private,,
190,Charlesbank Cooperative Corporation,Mission Hill,02120,276,0,276,274,0,274,2,0,2,Cooperative,Private,,
191,Charlestown (2-1),Charlestown,02129,1100,1100,0,0,0,0,1100,1100,0,Rental,Public,,
192,Charlestown Elderly,Charlestown,02129,42,42,0,0,0,0,42,42,0,Rental,Private,Y,
193,Charlestown Navy Yard Row Houses,Charlestown,02129,50,0,50,34,0,34,16,0,16,Ownership,Private,,
194,Charlesview Apartments,Brighton,02135,260,240,20,20,20,0,240,220,20,Rental,Private,,Y
195,Chauncy House,Downtown,02111,87,87,0,0,0,0,87,87,0,Rental,Private,Y,Y
196,Cheriton Grove,West Roxbury,02132,70,70,0,7,7,0,63,63,0,Rental,Private,Y,Y
197,Chestnut Avenue (p/o Self Help Apts),Jamaica Plain,02130,3,3,0,0,0,0,3,3,0,Rental,Private,,
198,Chestnut Hill Gardens,Brighton,02135,36,0,36,32,0,32,4,0,4,Ownership,Private,,
199,Chestnut Hill Park,Brighton,02135,47,0,47,45,0,45,2,0,2,Ownership,Private,,
200,Chestnut Hill Waterworks,Brighton,02135,108,0,108,97,0,97,11,0,11,Ownership,Private,,
201,Cheverus School Apts,East Boston,02128,48,48,0,1,1,0,47,47,0,Rental,Private,Y,
202,Chinagate Apartments,Chinatown,02111,15,15,0,0,0,0,15,15,0,Rental,Private,,Y
203,Church St SRO,Dorchester,02122,12,12,0,0,0,0,12,12,0,Rental,Private,,
204,City Square Elderly Housing,Charlestown,02129,120,120,0,1,1,0,119,119,0,Rental,Private,Y,Y
205,Clarendon Square,South End,02116,60,0,60,51,0,51,9,0,9,Ownership,Private,,
206,Clarendon-Warren Condominium,South End,02116,31,0,31,21,0,21,10,0,10,Ownership,Private,,
207,Cleaves Court Apts,Jamaica Plain,02119,36,36,0,0,0,0,36,36,0,Rental,Private,,
208,Cliffmont Condominium,Roslindale,02131,90,0,90,89,0,89,1,0,1,Ownership,Private,,
209,CNY - Harborview Point (Parcel 4),Charlestown,02129,224,224,0,203,203,0,21,21,0,Rental,Private,,
210,Codman Commons,Dorchester,02124,28,0,28,11,0,11,17,0,17,Ownership,Private,,
211,Codman Square Apts (2-51),Dorchester,02124,102,102,0,0,0,0,102,102,0,Rental,Public,Y,
212,Collins (Margaret) Apts (2-26),Jamaica Plain,02130,44,44,0,0,0,0,44,44,0,Rental,Public,Y,
213,Columbia Road/Lighthouse,Dorchester,02125,4,4,0,0,0,0,4,4,0,Rental,Private,,
214,Columbia West,Dorchester,02125,57,57,0,0,0,0,57,57,0,Rental,Private,,
215,Columbia-Wood Apartments,Dorchester,02121,49,49,0,1,1,0,48,48,0,Rental,Private,,Y
216,Comaven Apartments,Allston,02134,89,89,0,0,0,0,89,89,0,Rental,Private,,Y
217,Commerce Apartments,Jamaica Plain,02130,60,60,0,0,0,0,60,60,0,Rental,Private,,
218,"Commonwealth (2-82,-95,-96,-97)",Brighton,02135,394,394,0,0,0,0,394,394,0,Rental,Public,Y,
219,Commonwealth Housing,Allston,02134,118,118,0,0,0,0,118,118,0,Rental,Private,,Y
220,Concord Houses,South End,02118,181,181,0,10,10,0,171,171,0,Rental,Private,Y,
221,Concord St. Elder Housing,South End,02118,40,40,0,0,0,0,40,40,0,Rental,Private,Y,Y
222,Condor-Havre Garden Apartments,East Boston,02128,7,7,0,0,0,0,7,7,0,Rental,Private,,
223,Continuum (Barry's Corner),Allston,02134,325,325,0,283,283,0,42,42,0,Rental,Private,,
224,Conway Court,Roslindale,02131,28,28,0,0,0,0,28,28,0,Rental,Private,,
225,Coppersmith Village Ownership,East Boston,02128,15,0,15,7,0,7,8,0,8,Ownership,Private,,
226,Coppersmith Village Rental,East Boston,02128,56,56,0,15,15,0,41,41,0,Rental,Private,,
227,Cortes Street SRO,Bay Village,02116,41,41,0,1,1,0,40,40,0,Rental,Private,,
228,Costello Homes,South Boston,02127,15,0,15,7,0,7,8,0,8,Ownership,Private,,
229,Cote Village Apartments,Mattapan,02126,52,52,0,0,0,0,52,52,0,Rental,Private,,
230,Cote Village Townhomes,Mattapan,02126,24,24,0,0,0,0,24,24,0,Rental,Private,,
231,Cottage Brook Apartments,Roxbury,02125,147,147,0,0,0,0,147,147,0,Rental,Private,,Y
232,Council of Elders,Roxbury,02119,145,145,0,1,1,0,144,144,0,Rental,Private,Y,Y
233,Court St SRO,Downtown,02108,96,96,0,0,0,0,96,96,0,Rental,Private,,
234,Courtyard at Cedar Grove,Dorchester,02124,18,0,18,16,0,16,2,0,2,Ownership,Private,,
235,Covenant House 202,Brighton,02135,242,242,0,1,1,0,241,241,0,Rental,Private,Y,Y
236,Cox Building,Roxbury,02119,31,31,0,0,0,0,31,31,0,Rental,Private,,Y
237,Crawford House Apts,Roxbury,02121,9,9,0,0,0,0,9,9,0,Rental,Private,,Y
238,Crawford Street Lodging House,Roxbury,02121,17,17,0,0,0,0,17,17,0,Rental - Supportive,Private,,
239,Creighton Commons Condominiums,Jamaica Plain,02130,16,0,16,0,0,0,16,0,16,Ownership,Private,,
240,Crittenton Hastings House,Brighton,02135,62,62,0,0,0,0,62,62,0,Rental,Private,,
241,Cummins Towers,Roslindale,02131,239,239,0,59,59,0,180,180,0,Rental,Private,,
242,D4 Police Station,South End,02136,26,0,26,24,0,24,2,0,2,Ownership,Private,,
243,Dacia Residence at Beauford Green,Roxbury,02125,29,0,29,0,0,0,29,0,29,Ownership,Private,,
244,Danube Apartments,Dorchester,02121,65,65,0,0,0,0,65,65,0,Rental,Private,,Y
245,DaRosa (VUP),Dorchester,02122,1,1,0,0,0,0,1,1,0,Rental,Private,,
246,Dartmouth Hotel,Charlestown,02129,71,71,0,7,7,0,64,64,0,Rental,Private,,
247,DARTMOUTH TCB,Roxbury,02118,83,83,0,0,0,0,83,83,0,Rental,Private,,
248,Davenport Commons,Roxbury,02120,60,0,60,48,0,48,12,0,12,Ownership,Private,,
249,Davis (VUP),Roxbury,02125,2,2,0,0,0,0,2,2,0,Rental,Private,,
250,Davison (2-34),Hyde Park,02136,47,47,0,1,1,0,46,46,0,Rental,Public,Y,
251,DeMarco (VUP),East Boston,02128,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
252,Derne Street Lodging Home,Beacon Hill,02114,18,18,0,0,0,0,18,18,0,Rental,Private,,
253,Dexter Building,Downtown,02111,58,0,58,57,0,57,1,0,1,Ownership,Private,,
254,DiGirolamo (VUP),East Boston,02128,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
255,Dillon (VUP),Dorchester,02122,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
256,Dimock-Bragdon Apartments,Jamaica Plain,02119,54,54,0,0,0,0,54,54,0,Rental,Private,Y,Y
257,Dirigo Spice Building,South Boston,02127,17,0,17,16,0,16,1,0,1,Ownership,Private,,
258,Disilvio (VUP),East Boston,02128,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
259,Distillery Project Phase I,South Boston,02127,28,28,0,24,24,0,4,4,0,Rental,Private,,
260,Ditson St Senior Housing,Dorchester,02122,40,40,0,0,0,0,40,40,0,Rental,Private,Y,
261,DNA Lofts,Dorchester,02125,59,0,59,51,0,51,8,0,8,Ownership,Private,,
262,Domicilia I & II,Dorchester,02122,10,10,0,0,0,0,10,10,0,Rental,Private,Y,Y
263,Domicilia III,Jamaica Plain,02130,8,8,0,0,0,0,8,8,0,Rental,Private,,Y
264,Dorchester House,Dorchester,02122,91,91,0,0,0,0,91,91,0,Rental,Private,Y,Y
265,Douglas Park,Roxbury,02118,166,166,0,36,36,0,130,130,0,Rental,Private,,
266,Dover Lofts,South End,02118,16,0,16,14,0,14,2,0,2,Ownership,Private,,
267,Drayton Homes,Dorchester,02125,12,0,12,0,0,0,12,0,12,Ownership,Private,,
268,Dudley Greenville,Roxbury,02119,43,43,0,0,0,0,43,43,0,Rental,Private,,
269,Dudley Street Apts,Roxbury,02119,26,26,0,0,0,0,26,26,0,Rental,Private,,
