"Label (Grouping)","Boston city, Massachusetts!!Total!!Estimate","Boston city, Massachusetts!!Male!!Estimate","Boston city, Massachusetts!!Female!!Estimate"
"Population 18 to 24 years","112,059","52,813","59,246"
"Less than high school graduate","7.4%","9.6%","5.5%"
"High school graduate (includes equivalency)","19.1%","21.2%","17.3%"
"Some college or associate's degree","54.0%","51.1%","56.5%"
"Bachelor's degree or higher","19.5%","18.2%","20.8%"
"Population 25 years and over","421,038","199,076","221,962"
"    Less than 9th grade","8.1%","7.7%","8.4%"
"    9th to 12th grade, no diploma","6.9%","7.2%","6.7%"
"    High school graduate (includes equivalency)","22.0%","22.6%","21.5%"
"    Some college, no degree","13.9%","13.8%","14.0%"
"    Associate's degree","4.5%","3.7%","5.1%"
"    Bachelor's degree","24.5%","25.1%","23.9%"
"    Graduate or professional degree","20.1%","19.8%","20.3%"
"Percent high school graduate or higher","85.0%","85.1%","84.8%"
"Percent bachelor's degree or higher","44.6%","45.0%","44.2%"
"Population 25 to 34 years","140,988","68,924","72,064"
"    High school graduate or higher","93.8%","93.4%","94.2%"
"    Bachelor's degree or higher","63.8%","61.2%","66.3%"
"Population 35 to 44 years","79,933","39,036","40,897"
"    High school graduate or higher","86.8%","85.8%","87.8%"
"    Bachelor's degree or higher","44.0%","44.0%","44.0%"
"Population 45 to 64 years","133,553","63,753","69,800"
"    High school graduate or higher","82.2%","81.6%","82.8%"
"    Bachelor's degree or higher","34.0%","33.9%","34.1%"
"Population 65 years and over","66,564","27,363","39,201"
"    High school graduate or higher","69.5%","71.5%","68.2%"
"    Bachelor's degree or higher","25.7%","31.3%","21.8%"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","",""
"    Less than high school graduate","33.8%","28.7%","38.2%"
"    High school graduate (includes equivalency)","21.2%","17.3%","24.9%"
"    Some college or associate's degree","17.7%","15.0%","19.9%"
"    Bachelor's degree or higher","8.0%","7.2%","8.6%"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)","","",""
"    Population 25 years and over with earnings","43,270","46,808","40,883"
"        Less than high school graduate","21,213","23,827","18,788"
"        High school graduate (includes equivalency)","29,315","32,303","25,563"
"        Some college or associate's degree","35,021","36,323","33,643"
"        Bachelor's degree","54,768","61,255","50,938"
"        Graduate or professional degree","67,324","77,907","61,280"
"PERCENT IMPUTED","","",""
"    Educational attainment","9.0%","(X)","(X)"
