Project_Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8,D7
Bates School/Artblock 731,south end,2118.0,54,0,54,30.0,0.0,30.0,24,0,24.0,Ownership,Private,,,0
Bradley Properties,south end,2118.0,70,70,0,0.0,0.0,0.0,70,70,0.0,Rental,Private,,Y,0
Brownstone Apartments,south end,2118.0,75,75,0,0.0,0.0,0.0,75,75,0.0,Rental,Private,,Y,1
Casas Borinquen,south end,2118.0,36,36,0,0.0,0.0,0.0,36,36,0.0,Rental,Private,,Y,0
Castle Square,south end,2116.0,500,500,0,0.0,0.0,0.0,500,500,0.0,Rental,Private,,Y,0
Cathedral (2-6),south end,2118.0,414,414,0,0.0,0.0,0.0,414,414,0.0,Rental,Public,,,0
Clarendon Square,south end,2116.0,60,0,60,51.0,0.0,51.0,9,0,9.0,Ownership,Private,,,0
Clarendon-Warren Condominium,south end,2116.0,31,0,31,21.0,0.0,21.0,10,0,10.0,Ownership,Private,,,0
Concord Houses,south end,2118.0,181,181,0,10.0,10.0,0.0,171,171,0.0,Rental,Private,Y,,1
Concord St. Elder Housing,south end,2118.0,40,40,0,0.0,0.0,0.0,40,40,0.0,Rental,Private,Y,Y,0
D4 Police Station,south end,2136.0,26,0,26,24.0,0.0,24.0,2,0,2.0,Ownership,Private,,,0
Dover Lofts,south end,2118.0,16,0,16,14.0,0.0,14.0,2,0,2.0,Ownership,Private,,,0
Dwight St Apts,south end,2118.0,9,9,0,0.0,0.0,0.0,9,9,0.0,Rental,Private,,,0
East Berkeley Street,south end,2118.0,35,11,24,12.0,0.0,12.0,23,11,12.0,Ownership/Rental,Private,,,0
East Canton St Apts,south end,2118.0,80,80,0,0.0,0.0,0.0,80,80,0.0,Rental,Private,Y,Y,0
